:1763
Guillermo Francella:5603
Cynthia Watros:6007
Benoît Magimel:1370
Sam Reid:4948
Ken Davitian:2857
Jørgen Langhelle:1633
Seema Biswas:5643
Rachel Brosnahan:4985
Lisa Gaye:5733
George W. Bush:3636
Donna Murphy:1696
Dichen Lachman:1864
Colette Divine:5917
Antonio Sabato Jr.:5094
Rita Moreno:1344
James DeBello:6205
Kate Luyben:4393
Mike Farrell:5594
Judith Anderson:1436
Alice Pol:4764
François Berléand:3344
Nadine Labaki:5815
Alison Chand:5088
Kent McCord:3651
Eric Elmosnino:3098
Bob Dole:6024
Jan Cornet:2800
Evelyn Jefferson:4034
Scott Schwartz:5620
Quvenzhané Wallis:306
Daniel Tay:5744
Glenn Beck:5180
David Schaal:6229
Ami Ayalon:1720
Melissa Altro:2480
Elsa Lanchester:5389
Laurence Olivier:445
Tsianina Joelson:4989
Angus Sampson:5337
Pat Hingle:2580
Michael Greyeyes:1648
Griffin Dunne:4980
Steve Duin:4008
Tatum O'Neal:589
Linda Cardellini:930
Tara Platt:3021
Taron Egerton:2717
Boris Kodjoe:1182
David Threlfall:4171
Tim Guinee:3271
Eric Schlosser:3794
Dr. Dre:3449
Melissa Benoist:2570
Dennis L.A. White:3935
Eric Mendenhall:918
Kôji Yakusho:2087
Keir Dullea:1174
Skye McCole Bartusiak:2791
Pei-Pei Cheng:2929
Frances Bavier:1888
Meryl Streep:209
Zhanna Friske:5545
Brian Blessed:594
Todd Allen:2686
Syamsul Arifin:5926
Chad Allen:3121
Russell Hodgkinson:1823
Roscoe Lee Browne:1489
Mike Dopud:2334
Diane Venora:5951
Anatoliy Solonitsyn:2408
Alex Sanborn:6074
Mahadeo Shivraj:145
Miranda July:5750
James D'Arcy:106
Fortunato Cerlino:3299
Jensen Ackles:1065
Alex Lawther:3793
Keram Malicki-Sánchez:2799
Ni Ni:2192
Robert Miano:2816
Charlotte Bøving:3155
Matthew Daddario:2943
Tim Williams:4979
Kyra Nichols:2852
Gerry Bednob:803
Drake:4215
Joanna Kulig:1598
Emmanuelle Vaugier:975
Daniella Alonso:1241
Jarrod Phillips:5960
Paul Ogola:2080
Sean Cook:3328
Chris Andrew Ciulla:4976
Selton Mello:3073
Dan Bakkedahl:4935
Skyler Samuels:4858
Adrian Lester:2299
David Alan Grier:5396
Rob Moran:4410
Terry O'Neill:4382
Michael Cerveris:3463
Scarlett Johansson:59
Shawna Waldron:319
Ti West:6031
Jacob Young:4758
Shahab Hosseini:1849
Hugo Stiglitz:5450
Kelli Barrett:4915
Birgitte Hjort Sørensen:1056
Tómas Lemarquis:4698
Muse Watson:424
Rich Ceraulo:1766
Tommy Sheppard:1903
Harris Yulin:4219
Charlie Tahan:2441
Jordan Prentice:4661
Reiner Schwarz:5419
Jonathan Silverman:5483
Darren Healy:6174
Rufus Graham:3810
Sam Anderson:4385
Bertrand Cantat:4032
Carroll O'Connor:1640
Scott Vance:4510
John Aylward:2781
Bokeem Woodbine:496
Gregory Cruz:3569
Michelle Nolden:3956
Mark Webber:3004
Joshua Leonard:3885
Jimmy Fallon:521
Taylor Handley:3096
Miguel Sandoval:5828
Tippi Hedren:984
Perrey Reeves:5266
Eddie Baroo:4176
Richard Moll:2038
Tamannaah Bhatia:545
Jurnee Smollett-Bell:1190
